group_id	items_in_group	lo_value	p	FDR	goodsgrna
hDel_5135__0	8	4.2960e-02	2.3714e-02	0.297895	1
hDel_3900__3000	10	4.3313e-02	2.2632e-02	0.295653	2
hDel_2028__250	16	4.3514e-02	3.2449e-02	0.324999	1
hDel_7028__31000	16	4.3514e-02	3.2449e-02	0.324999	1
hDel_6849__1000	16	4.3514e-02	3.2449e-02	0.324999	1
hDel_7156__1750	16	4.3514e-02	3.2449e-02	0.324999	1
hDel_3059__13750	16	4.3514e-02	3.2449e-02	0.324999	1
hDel_6274__4000	16	4.3514e-02	3.2449e-02	0.324999	2
hDel_6137__750	16	4.3514e-02	3.2449e-02	0.324999	1
hDel_774__250	16	4.3514e-02	3.2449e-02	0.324999	1
hDel_3432__2750	16	4.3514e-02	3.2449e-02	0.324999	1
hDel_2347__2250	7	4.4627e-02	2.8869e-02	0.320618	2
hDel_1647__1250	21	4.5471e-02	2.8668e-02	0.320618	3
hDel_5412__1000	16	4.5968e-02	3.5508e-02	0.328078	3
hDel_2635__6500	17	4.6170e-02	3.3887e-02	0.324999	1
hDel_6036__0	17	4.6170e-02	3.3887e-02	0.324999	1
hDel_5827__9250	17	4.6170e-02	3.3887e-02	0.324999	2
hDel_2879__0	17	4.6170e-02	3.3887e-02	0.324999	2
hDel_6467__250	17	4.6170e-02	3.3887e-02	0.324999	2
hDel_3099__1000	17	4.6170e-02	3.3887e-02	0.324999	1
hDel_1585__0	17	4.6170e-02	3.3887e-02	0.324999	1
hDel_7028__21500	17	4.6170e-02	3.3887e-02	0.324999	2
hDel_7061__7750	12	4.6991e-02	2.6897e-02	0.320618	2
hDel_6849__2250	30	4.8491e-02	2.9128e-02	0.322290	4
hDel_4543__0	18	4.8818e-02	3.3714e-02	0.324999	2
hDel_4460__500	18	4.8818e-02	3.3714e-02	0.324999	2
hDel_532__750	18	4.8818e-02	3.3714e-02	0.324999	1
hDel_1025__3750	18	4.8818e-02	3.3714e-02	0.324999	1
hDel_123__2500	18	4.8818e-02	3.3714e-02	0.324999	1
hDel_3947__0	18	4.8818e-02	3.3714e-02	0.324999	2
hDel_6520__2000	18	4.9040e-02	3.4046e-02	0.324999	3
hDel_6574__8500	7	4.9413e-02	2.9521e-02	0.323577	2
hDel_7235__17500	11	4.9420e-02	2.7211e-02	0.320618	2
hDel_2902__500	5	4.9571e-02	2.8190e-02	0.320618	1
hDel_5909__8000	26	4.9635e-02	3.1785e-02	0.324999	4
hDel_3429__13750	24	4.9756e-02	3.4608e-02	0.325138	4
hDel_6631__0	7	4.9897e-02	2.9521e-02	0.323577	2
hDel_4210__750	17	4.9922e-02	3.7634e-02	0.334023	3
hDel_774__1000	18	4.9990e-02	3.7317e-02	0.334023	1
hDel_5785__2250	20	5.0312e-02	3.4225e-02	0.324999	2
hDel_6899__6000	11	5.0434e-02	2.7211e-02	0.320618	2
hDel_6048__4500	5	5.0663e-02	2.8190e-02	0.320618	1
hDel_2879__500	41	5.0906e-02	3.2119e-02	0.324999	4
hDel_1200__750	13	5.0944e-02	3.1745e-02	0.324999	2
hDel_7179__3750	24	5.1076e-02	3.5346e-02	0.327486	2
hDel_4154__5750	20	5.1151e-02	3.4225e-02	0.324999	3
hDel_7077__250	19	5.1459e-02	3.4263e-02	0.324999	2
hDel_1112__0	19	5.1459e-02	3.4263e-02	0.324999	2
hDel_3326__3750	19	5.1459e-02	3.4263e-02	0.324999	2
hDel_494__2750	18	5.1712e-02	3.8052e-02	0.334023	3
hDel_6234__3250	9	5.1770e-02	2.9212e-02	0.322290	2
hDel_2024__1750	7	5.3194e-02	3.2868e-02	0.324999	2
hDel_5648__250	27	5.3345e-02	3.3376e-02	0.324999	4
hDel_4987__3750	14	5.3432e-02	3.6298e-02	0.330369	2
hDel_6633__2000	29	5.3927e-02	3.5060e-02	0.327486	3
hDel_935__1250	9	5.3966e-02	3.0370e-02	0.324999	1
hDel_6899__3750	8	5.4031e-02	3.4461e-02	0.324999	2
hDel_4686__250	20	5.4093e-02	3.6454e-02	0.330369	2
hDel_5980__3750	20	5.4093e-02	3.6454e-02	0.330369	1
hDel_3711__4750	20	5.4093e-02	3.6454e-02	0.330369	2
hDel_494__3000	5	5.4151e-02	2.8190e-02	0.320618	1
hDel_5689__250	31	5.4168e-02	3.3865e-02	0.324999	3
hDel_7004__0	7	5.4826e-02	3.4999e-02	0.327486	1
hDel_4890__6500	7	5.5585e-02	3.8393e-02	0.334023	1
hDel_3059__4500	8	5.6132e-02	3.5225e-02	0.327486	2
hDel_5337__5500	8	5.6387e-02	3.6040e-02	0.330369	2
hDel_3334__0	27	5.6403e-02	3.7273e-02	0.334023	4
hDel_2684__2750	21	5.6720e-02	3.8484e-02	0.334023	1
hDel_3090__0	21	5.6720e-02	3.8484e-02	0.334023	2
hDel_5785__2500	26	5.6732e-02	3.8387e-02	0.334023	4
hDel_3303__12500	12	5.7074e-02	3.2325e-02	0.324999	2
hDel_4172__3000	8	5.8530e-02	3.7664e-02	0.334023	1
hDel_76__750	21	5.8715e-02	3.9496e-02	0.335370	3
hDel_1066__0	5	5.9039e-02	3.2410e-02	0.324999	1
hDel_4460__1500	5	5.9255e-02	3.2410e-02	0.324999	1
hDel_6563__250	22	5.9339e-02	4.0935e-02	0.342235	2
hDel_411__0	22	5.9339e-02	4.0935e-02	0.342235	3
hDel_5337__3750	7	5.9594e-02	4.1380e-02	0.343539	2
hDel_6811__750	32	5.9771e-02	3.7397e-02	0.334023	4
hDel_5962__1000	6	5.9835e-02	3.8741e-02	0.334027	1
hDel_4397__250	5	5.9905e-02	3.2410e-02	0.324999	1
hDel_3530__250	14	6.0856e-02	3.8641e-02	0.334023	2
hDel_3426__500	39	6.1022e-02	4.0637e-02	0.342235	4
hDel_3059__13500	5	6.1529e-02	3.4496e-02	0.324999	1
hDel_4888__0	23	6.1951e-02	4.2107e-02	0.344457	2
hDel_6188__750	23	6.1951e-02	4.2107e-02	0.344457	2
hDel_6503__0	23	6.1951e-02	4.2107e-02	0.344457	2
hDel_6332__0	23	6.1951e-02	4.2107e-02	0.344457	3
hDel_6811__2250	23	6.1951e-02	4.2107e-02	0.344457	2
hDel_6009__500	25	6.1981e-02	4.3041e-02	0.346552	2
hDel_5671__750	22	6.2138e-02	4.1632e-02	0.344457	2
hDel_4987__1250	12	6.2239e-02	3.5256e-02	0.327486	2
