group_id	items_in_group	lo_value	p	FDR	goodsgrna
hDel_5286__250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_1301__3250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_2833__2250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_6144__1500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_3429__13500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_5519__250	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_3430__3750	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_3402__33500	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_4548__1000	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_3430__4000	8	7.6734e-03	6.7577e-03	0.510488	1
hDel_5400__2250	8	7.6976e-03	1.0502e-02	0.544194	1
hDel_6418__262000	8	7.7702e-03	1.0502e-02	0.544194	1
hDel_6391__2250	8	7.7702e-03	1.0502e-02	0.544194	1
hDel_422__250	8	7.7944e-03	1.0502e-02	0.544194	1
hDel_6048__2250	8	7.9396e-03	1.0502e-02	0.544194	1
hDel_3147__750	8	7.9638e-03	1.0502e-02	0.544194	1
hDel_1610__250	8	8.0606e-03	1.0502e-02	0.544194	1
hDel_4443__1750	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_488__0	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_3402__18750	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_5933__250	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_7096__18500	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_6468__1000	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_6057__7750	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_4944__1250	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_2175__5000	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_7002__5250	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_6076__500	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_961__1500	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_3315__0	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_7021__9000	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_7021__9250	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_6__0	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_5006__1250	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_448__1500	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_6146__2250	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_6456__36500	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_4529__30750	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_6574__11000	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_6057__8000	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_1497__2000	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_3596__1000	9	8.6284e-03	8.0197e-03	0.510488	1
hDel_3296__-250	9	8.6284e-03	8.0197e-03	0.510488	1
