sgRNA	Gene	t0_C3624K	rep1_C3624K	rep2_C3624K
hDel_76:194	hDel_76	4559	42	57
hDel_5689:123	hDel_5689	2760	2910	2678
hDel_6899:276	hDel_6899	4228	4371	5293
hDel_6851:116	hDel_6851	4792	4643	5473
hDel_1441:202	hDel_1441	4025	3294	4888
hDel_399:178	hDel_399	3780	3916	3536
hDel_1431:44	hDel_1431	1990	2023	1580
hDel_7004:37	hDel_7004	4226	3547	3654
hDel_3585:22	hDel_3585	5253	4481	4656
hDel_6146:60	hDel_6146	3581	3188	3587
hDel_1585:63	hDel_1585	1765	1705	1360
hDel_4529:104	hDel_4529	5400	4295	5690
hDel_3294:2	hDel_3294	2460	2406	2275
hDel_2623:76	hDel_2623	1880	2265	1708
hDel_6878:344	hDel_6878	3984	4207	3449
hDel_7156:147	hDel_7156	3639	1738	1778
hDel_3103:3	hDel_3103	4189	3575	4187
hDel_923:350	hDel_923	7084	6823	8449
hDel_4624:83	hDel_4624	3411	4254	3829
hDel_2347:105	hDel_2347	2347	2370	2039
hDel_5393:27	hDel_5393	5032	5221	6930
hDel_765:14	hDel_765	2245	2058	1871
hDel_3303:191	hDel_3303	2682	3501	3601
hDel_1232:115	hDel_1232	3170	3852	3268
hDel_1005:18	hDel_1005	3882	4230	2808
hDel_7111:45	hDel_7111	5637	5600	6316
hDel_4092:2	hDel_4092	5578	4783	5884
hDel_6813:76	hDel_6813	5397	5738	7279
hDel_4751:50	hDel_4751	4262	5181	3770
hDel_2136:4	hDel_2136	3860	3790	4428
hDel_6754:130	hDel_6754	4712	4418	4855
hDel_6528:157	hDel_6528	2038	2980	3003
hDel_5286:201	hDel_5286	2933	2758	2244
hDel_596:49	hDel_596	4445	3065	3909
hDel_1094:181	hDel_1094	1416	1532	1316
hDel_2585:86	hDel_2585	5053	3852	5096
hDel_3326:68	hDel_3326	5586	4892	6597
MED13L:3	MED13L	8520	19473	21159
hDel_6410:11	hDel_6410	2435	2338	2086
hDel_2823:122	hDel_2823	3251	3295	3780
hDel_6119:127	hDel_6119	5324	3874	4831
hDel_2186:71	hDel_2186	1789	2039	2706
hDel_7235:335	hDel_7235	3567	3601	4044
hDel_5810:51	hDel_5810	2294	2154	2199
hDel_5689:91	hDel_5689	3709	3660	3392
hDel_343:33	hDel_343	2770	3115	3643
hDel_6624:101	hDel_6624	3586	3369	3155
hDel_4409:198	hDel_4409	3773	4034	5653
hDel_1267:175	hDel_1267	4627	5251	4877
hDel_3947:1	hDel_3947	3055	2009	2896
hDel_6146:193	hDel_6146	2301	1887	2279
panTro6_CTRL1634	panTro6_CTRL	3523	3237	3071
hDel_935:27	hDel_935	4129	4468	4034
hDel_3013:19	hDel_3013	4466	5577	5663
hDel_726:51	hDel_726	3404	1997	2932
hDel_6849:201	hDel_6849	3226	3152	3627
hDel_3059:132	hDel_3059	2667	1927	3346
hDel_4985:197	hDel_4985	4420	4353	4380
hDel_5835:53	hDel_5835	4069	2803	2204
hDel_7061:275	hDel_7061	4394	2967	4782
hDel_4530:16	hDel_4530	5071	4458	3333
hDel_2143:10	hDel_2143	4465	4384	5138
hDel_1546:10	hDel_1546	2977	2882	3948
hDel_50:92	hDel_50	5303	5127	5893
hDel_6849:86	hDel_6849	4709	4173	5093
hDel_6906:21	hDel_6906	3723	3952	3951
hDel_3516:12	hDel_3516	4632	3919	5060
hDel_5488:38	hDel_5488	4607	4490	6646
hDel_6854:161	hDel_6854	5677	5321	6406
hDel_1106:190	hDel_1106	4988	4419	5683
hDel_1904:76	hDel_1904	3106	3808	3776
hDel_3035:66	hDel_3035	4544	4127	4776
hDel_6878:324	hDel_6878	3038	2579	3068
hDel_1939:41	hDel_1939	1396	2117	1270
hDel_6130:33	hDel_6130	5638	5199	6470
hDel_5337:213	hDel_5337	4840	3693	5677
hDel_6503:75	hDel_6503	2441	2345	2448
hDel_5689:298	hDel_5689	4841	4270	4579
hDel_6854:67	hDel_6854	2254	1601	2129
hDel_7179:189	hDel_7179	2741	1888	3314
DDX10:5	DDX10	4250	81	61
hDel_3402:29	hDel_3402	5435	4733	5728
hDel_76:88	hDel_76	3150	3774	3553
hDel_5637:124	hDel_5637	3256	1669	3371
hDel_4859:57	hDel_4859	3851	3497	2491
hDel_6949:120	hDel_6949	4325	4603	5447
hDel_6098:17	hDel_6098	1157	997	1891
hDel_4283:114	hDel_4283	3361	3441	4250
hDel_5311:58	hDel_5311	4353	4213	4881
hDel_5037:125	hDel_5037	5117	5069	5541
hDel_2196:37	hDel_2196	3362	2954	3611
hDel_5337:321	hDel_5337	1303	1501	2016
hDel_2977:48	hDel_2977	4162	4650	5552
hDel_6076:58	hDel_6076	2923	3084	2357
hDel_1958:53	hDel_1958	1399	2476	2552
hDel_4529:90	hDel_4529	2817	2879	3914
hDel_6502:113	hDel_6502	3406	3403	2832
hDel_288:89	hDel_288	3208	3406	3702
hDel_7028:119	hDel_7028	3974	4272	3380
hDel_494:153	hDel_494	2133	2306	3773
hDel_1078:65	hDel_1078	2976	3344	3454
hDel_11:46	hDel_11	3738	4146	3773
hDel_4027:47	hDel_4027	4800	4592	4953
hDel_2685:12	hDel_2685	4136	3301	4250
hDel_5595:87	hDel_5595	3073	2889	2321
hDel_3130:90	hDel_3130	6173	5002	4976
hDel_5140:3	hDel_5140	4470	4736	4229
hDel_450:161	hDel_450	924	496	700
hDel_6833:60	hDel_6833	5494	434	602
hDel_726:87	hDel_726	2144	1751	2410
hDel_2833:96	hDel_2833	6216	4819	5848
hDel_6849:250	hDel_6849	3942	3664	3717
hDel_2311:143	hDel_2311	4084	3585	3834
hDel_3147:71	hDel_3147	2957	3139	3544
